accord_id_primary,accord_id_secondary,note_id,blended_pct
ACC-0280,ACC-0134,NOTE-0420,22.4042
ACC-0280,ACC-0134,NOTE-0449,5.8387
ACC-0280,ACC-0134,NOTE-0465,3.8896
ACC-0280,ACC-0134,NOTE-0484,16.5958
ACC-0280,ACC-0134,NOTE-0491,2.03175
ACC-0280,ACC-0134,NOTE-0499,4.3645
ACC-0280,ACC-0134,NOTE-0530,0.8792
ACC-0280,ACC-0134,NOTE-0535,2.7951
ACC-0280,ACC-0134,NOTE-0581,13.03965
ACC-0280,ACC-0134,NOTE-0627,9.07075
ACC-0111,ACC-0022,NOTE-0016,5.7564
ACC-0111,ACC-0022,NOTE-0021,15.3465
ACC-0111,ACC-0022,NOTE-0087,2.0501
ACC-0111,ACC-0022,NOTE-0094,4.23215
ACC-0111,ACC-0022,NOTE-0205,12.9675
ACC-0111,ACC-0022,NOTE-0269,1.15115
ACC-0111,ACC-0022,NOTE-0354,2.9302
ACC-0111,ACC-0022,NOTE-0449,4.0054
ACC-0111,ACC-0022,NOTE-0453,1.87395
ACC-0111,ACC-0022,NOTE-0455,3.24285
ACC-0111,ACC-0022,NOTE-0456,2.2555
ACC-0111,ACC-0022,NOTE-0459,8.9869
ACC-0111,ACC-0022,NOTE-0460,3.24025
ACC-0111,ACC-0022,NOTE-0476,0.96655
ACC-0111,ACC-0022,NOTE-0490,3.03555
ACC-0111,ACC-0022,NOTE-0491,1.11825
ACC-0111,ACC-0022,NOTE-0526,1.7976
ACC-0111,ACC-0022,NOTE-0530,23.0195
ACC-0111,ACC-0022,NOTE-0654,2.0237
ACC-0144,ACC-0100,NOTE-0021,5.27345
ACC-0144,ACC-0100,NOTE-0205,14.291243
ACC-0144,ACC-0100,NOTE-0451,2.564049
ACC-0144,ACC-0100,NOTE-0453,3.98712
ACC-0144,ACC-0100,NOTE-0466,11.367773
ACC-0144,ACC-0100,NOTE-0467,7.067759
ACC-0144,ACC-0100,NOTE-0468,7.141257
ACC-0144,ACC-0100,NOTE-0473,13.91715
ACC-0144,ACC-0100,NOTE-0476,4.8451
ACC-0144,ACC-0100,NOTE-0488,12.79655
ACC-0144,ACC-0100,NOTE-0489,16.74855
ACC-0007,ACC-0107,NOTE-0021,2.9302
ACC-0007,ACC-0107,NOTE-0193,5.36185
ACC-0007,ACC-0107,NOTE-0205,2.6922
ACC-0007,ACC-0107,NOTE-0464,8.75
ACC-0007,ACC-0107,NOTE-0473,3.6484
ACC-0007,ACC-0107,NOTE-0475,5.32805
ACC-0007,ACC-0107,NOTE-0476,1.2292
ACC-0007,ACC-0107,NOTE-0486,15.75
ACC-0007,ACC-0107,NOTE-0497,17.60785
ACC-0007,ACC-0107,NOTE-0639,14.39295
ACC-0007,ACC-0107,NOTE-0640,8.13735
ACC-0007,ACC-0107,NOTE-0641,14.17195
ACC-0178,ACC-0165,NOTE-0205,8.184597
ACC-0178,ACC-0165,NOTE-0455,8.353066
ACC-0178,ACC-0165,NOTE-0458,4.99485
ACC-0178,ACC-0165,NOTE-0465,2.6362
ACC-0178,ACC-0165,NOTE-0471,15.187098
ACC-0178,ACC-0165,NOTE-0476,4.884051
ACC-0178,ACC-0165,NOTE-0485,21.079939
ACC-0178,ACC-0165,NOTE-0488,8.75
ACC-0178,ACC-0165,NOTE-0501,10.91125
ACC-0178,ACC-0165,NOTE-0516,10.180198
ACC-0178,ACC-0165,NOTE-0548,4.83875
ACC-0130,ACC-0239,NOTE-0175,5.9836
ACC-0130,ACC-0239,NOTE-0193,8.385084
ACC-0130,ACC-0239,NOTE-0205,32.903095
ACC-0130,ACC-0239,NOTE-0449,3.01538
ACC-0130,ACC-0239,NOTE-0465,5.6882
ACC-0130,ACC-0239,NOTE-0491,5.614756
ACC-0130,ACC-0239,NOTE-0493,20.865209
ACC-0130,ACC-0239,NOTE-0530,7.619376
ACC-0130,ACC-0239,NOTE-0588,3.13425
ACC-0130,ACC-0239,NOTE-0599,6.79105
ACC-0131,ACC-0112,NOTE-0021,5.62625
ACC-0131,ACC-0112,NOTE-0205,15.0651
ACC-0131,ACC-0112,NOTE-0464,2.65055
ACC-0131,ACC-0112,NOTE-0465,9.30865
ACC-0131,ACC-0112,NOTE-0497,3.87275
ACC-0131,ACC-0112,NOTE-0498,2.2267
ACC-0131,ACC-0112,NOTE-0499,15.75
ACC-0131,ACC-0112,NOTE-0509,29.25
ACC-0131,ACC-0112,NOTE-0531,7.4074
ACC-0131,ACC-0112,NOTE-0532,5.43205
ACC-0131,ACC-0112,NOTE-0533,3.41055
ACC-0169,ACC-0292,NOTE-0005,8.75
ACC-0169,ACC-0292,NOTE-0205,1.6492
ACC-0169,ACC-0292,NOTE-0407,2.32085
ACC-0169,ACC-0292,NOTE-0455,5.768808
ACC-0169,ACC-0292,NOTE-0457,12.836328
ACC-0169,ACC-0292,NOTE-0465,7.395124
ACC-0169,ACC-0292,NOTE-0484,15.75
ACC-0169,ACC-0292,NOTE-0513,8.630136
ACC-0169,ACC-0292,NOTE-0514,17.599576
ACC-0169,ACC-0292,NOTE-0546,12.770028
ACC-0169,ACC-0292,NOTE-0629,6.52995
ACC-0195,ACC-0202,NOTE-0021,9.091691
ACC-0195,ACC-0202,NOTE-0205,7.597726
ACC-0195,ACC-0202,NOTE-0408,3.726137
ACC-0195,ACC-0202,NOTE-0455,11.575216
ACC-0195,ACC-0202,NOTE-0465,2.249122
ACC-0195,ACC-0202,NOTE-0472,10.772558
ACC-0195,ACC-0202,NOTE-0476,4.570196
ACC-0195,ACC-0202,NOTE-0507,12.365974
ACC-0195,ACC-0202,NOTE-0539,15.914109
ACC-0195,ACC-0202,NOTE-0578,22.137271
ACC-0130,ACC-0185,NOTE-0075,11.25845
ACC-0130,ACC-0185,NOTE-0193,8.385084
ACC-0130,ACC-0185,NOTE-0205,22.573545
ACC-0130,ACC-0185,NOTE-0449,3.01538
ACC-0130,ACC-0185,NOTE-0455,4.51185
ACC-0130,ACC-0185,NOTE-0465,2.60855
ACC-0130,ACC-0185,NOTE-0471,5.4369
ACC-0130,ACC-0185,NOTE-0491,5.614756
ACC-0130,ACC-0185,NOTE-0493,20.865209
ACC-0130,ACC-0185,NOTE-0530,7.619376
ACC-0130,ACC-0185,NOTE-0572,8.1109
ACC-0251,ACC-0092,NOTE-0021,6.15095
ACC-0251,ACC-0092,NOTE-0205,4.067391
ACC-0251,ACC-0092,NOTE-0284,8.84455
ACC-0251,ACC-0092,NOTE-0455,25.047914
ACC-0251,ACC-0092,NOTE-0456,11.025886
ACC-0251,ACC-0092,NOTE-0457,14.9838
ACC-0251,ACC-0092,NOTE-0512,9.306593
ACC-0251,ACC-0092,NOTE-0513,4.617246
ACC-0251,ACC-0092,NOTE-0514,7.076021
ACC-0251,ACC-0092,NOTE-0606,8.87965
ACC-0148,ACC-0123,NOTE-0021,22.24755
ACC-0148,ACC-0123,NOTE-0087,11.7429
ACC-0148,ACC-0123,NOTE-0205,16.80965
ACC-0148,ACC-0123,NOTE-0454,6.565
ACC-0148,ACC-0123,NOTE-0456,3.89585
ACC-0148,ACC-0123,NOTE-0458,1.69365
ACC-0148,ACC-0123,NOTE-0465,5.56015
ACC-0148,ACC-0123,NOTE-0476,4.2458
ACC-0148,ACC-0123,NOTE-0496,6.3056
ACC-0148,ACC-0123,NOTE-0519,12.1261
ACC-0148,ACC-0123,NOTE-0520,8.80775
ACC-0249,ACC-0275,NOTE-0003,11.680317
ACC-0249,ACC-0275,NOTE-0021,20.440104
ACC-0249,ACC-0275,NOTE-0087,5.707057
ACC-0249,ACC-0275,NOTE-0205,3.511235
ACC-0249,ACC-0275,NOTE-0220,4.343893
ACC-0249,ACC-0275,NOTE-0454,7.99303
ACC-0249,ACC-0275,NOTE-0455,9.240492
ACC-0249,ACC-0275,NOTE-0456,9.681847
ACC-0249,ACC-0275,NOTE-0505,14.630996
ACC-0249,ACC-0275,NOTE-0608,5.299503
ACC-0249,ACC-0275,NOTE-0623,7.471525
ACC-0199,ACC-0244,NOTE-0205,5.2208
ACC-0199,ACC-0244,NOTE-0349,5.924509
ACC-0199,ACC-0244,NOTE-0408,15.8457
ACC-0199,ACC-0244,NOTE-0455,2.370924
ACC-0199,ACC-0244,NOTE-0459,12.73415
ACC-0199,ACC-0244,NOTE-0465,4.4317
ACC-0199,ACC-0244,NOTE-0501,15.075701
ACC-0199,ACC-0244,NOTE-0519,20.5244
ACC-0199,ACC-0244,NOTE-0520,6.24325
ACC-0199,ACC-0244,NOTE-0525,3.861939
ACC-0199,ACC-0244,NOTE-0604,5.835958
ACC-0199,ACC-0244,NOTE-0607,1.930969
ACC-0207,ACC-0039,NOTE-0021,2.8847
ACC-0207,ACC-0039,NOTE-0205,3.1226
ACC-0207,ACC-0039,NOTE-0453,10.5
ACC-0207,ACC-0039,NOTE-0455,6.9537
ACC-0207,ACC-0039,NOTE-0465,2.6507
ACC-0207,ACC-0039,NOTE-0480,7.9716
ACC-0207,ACC-0039,NOTE-0491,2.6425
ACC-0207,ACC-0039,NOTE-0501,39.0
ACC-0207,ACC-0039,NOTE-0532,3.7583
ACC-0207,ACC-0039,NOTE-0556,10.3883
ACC-0207,ACC-0039,NOTE-0637,7.31395
ACC-0207,ACC-0039,NOTE-0638,2.81365
ACC-0248,ACC-0155,NOTE-0021,7.82169
ACC-0248,ACC-0155,NOTE-0205,5.779034
ACC-0248,ACC-0155,NOTE-0453,20.466791
ACC-0248,ACC-0155,NOTE-0454,9.580808
ACC-0248,ACC-0155,NOTE-0455,2.479075
ACC-0248,ACC-0155,NOTE-0476,1.434314
ACC-0248,ACC-0155,NOTE-0485,3.215132
ACC-0248,ACC-0155,NOTE-0525,9.124518
ACC-0248,ACC-0155,NOTE-0555,21.00021
ACC-0248,ACC-0155,NOTE-0556,5.310253
ACC-0248,ACC-0155,NOTE-0586,13.788174
