note_id,note_name,normalized_note_name,chemical_family,odor_family
NOTE-0384,Tarragon,tarragon,,
NOTE-0385,Tea,tea,,
NOTE-0386,Terrae Accord,terrae_accord,,
NOTE-0387,Texas Cedar,texas_cedar,,
NOTE-0388,Thyme,thyme,Phenolic Terpene,Aromatic / Spicy
NOTE-0389,Tiare Flower,tiare_flower,,
NOTE-0390,Tobacco,tobacco,Alkaloid,Tobacco / Sweet
NOTE-0391,Tobacco Blossom,tobacco_blossom,,
NOTE-0392,Tobacco Leaf,tobacco_leaf,,
NOTE-0393,Toffee,toffee,,
NOTE-0394,Toffee Accord,toffee_accord,,
NOTE-0396,Tomato,tomato,,
NOTE-0397,Tomato Leaf,tomato_leaf,,
NOTE-0398,Tonka,tonka,,
NOTE-0400,Tropical Fruits,tropical_fruits,,
NOTE-0401,Truffle,truffle,,
NOTE-0402,Tuberose,tuberose,Aromatic Ester,White Floral
NOTE-0403,Tunisian Neroli,tunisian_neroli,,
NOTE-0404,Tunisian Orange Blossom,tunisian_orange_blossom,,
NOTE-0405,Turkish Coffee Accord,turkish_coffee_accord,,
NOTE-0406,Turkish Rose,turkish_rose,,
NOTE-0409,Vanilla Bean,vanilla_bean,,
NOTE-0410,Vanilla Flower,vanilla_flower,,
NOTE-0411,Vanilla‑like Woods,vanilla_like_woods,,
NOTE-0412,Vanilla Orchid,vanilla_orchid,,
NOTE-0413,Vanille,vanille,,
NOTE-0414,Verbena,verbena,,
NOTE-0415,Vervain,vervain,,
NOTE-0416,Vetiver,vetiver,Sesquiterpene Alcohol,Woody / Earthy
NOTE-0417,Vetyver,vetyver,,
NOTE-0419,Violet Accord,violet_accord,,
NOTE-0421,Violet Leaves,violet_leaves,,
NOTE-0422,Virginia Cedar,virginia_cedar,,
NOTE-0423,Vodka,vodka,,
NOTE-0424,Water Lily,water_lily,,
NOTE-0425,Water Notes,water_notes,,
NOTE-0426,Watery Notes,watery_notes,,
NOTE-0427,Whiskey,whiskey,,
NOTE-0428,Whiskey Accord,whiskey_accord,,
NOTE-0429,Whisky Accord,whisky_accord,,
